"filename", "language", "pip requirements", "Python", "C++", "Markdown", "reStructuredText", "Ini", "CMake", "toml", "Shell Script", "XML", "CSS", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\local_bindings.h", "C++", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 93
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\object.h", "C++", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 40, 206
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\pybind11_cross_module_tests.cpp", "C++", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 24, 150
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\pybind11_tests.cpp", "C++", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 17, 130
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\pybind11_tests.h", "C++", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 86
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\pytest.ini", "Ini", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\requirements.txt", "pip requirements", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_async.cpp", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 26
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_async.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_buffers.cpp", "C++", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 33, 260
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_buffers.py", "Python", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42, 229
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_builtin_casters.cpp", "C++", 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 43, 393
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_builtin_casters.py", "Python", 0, 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 106, 529
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_call_policies.cpp", "C++", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 116
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_call_policies.py", "Python", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 248
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_callbacks.cpp", "C++", 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 32, 281
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_callbacks.py", "Python", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 52, 226
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_chrono.cpp", "C++", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 16, 82
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_chrono.py", "Python", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 59, 206
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_class.cpp", "C++", 0, 0, 499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 89, 658
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_class.py", "Python", 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 115, 500
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_cmake_build\embed.cpp", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_cmake_build\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_cmake_build\test.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_const_name.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 56
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_const_name.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_constants_and_functions.cpp", "C++", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 20, 159
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_constants_and_functions.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 57
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_copy_move.cpp", "C++", 0, 0, 423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 38, 534
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_copy_move.py", "Python", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 133
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_custom_type_casters.cpp", "C++", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 24, 222
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_custom_type_casters.py", "Python", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 123
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_custom_type_setup.cpp", "C++", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 42
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_custom_type_setup.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 49
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_docstring_options.cpp", "C++", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31, 142
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_docstring_options.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 19, 65
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_eigen_matrix.cpp", "C++", 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 42, 446
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_eigen_matrix.py", "Python", 0, 653, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 133, 815
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_eigen_tensor.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 19
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_eigen_tensor.inl", "C++", 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62, 334
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_eigen_tensor.py", "Python", 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58, 289
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_embed\catch.cpp", "C++", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 44
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_embed\external_module.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 21
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_embed\test_interpreter.cpp", "C++", 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 82, 489
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_embed\test_interpreter.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_embed\test_trampoline.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_enum.cpp", "C++", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 18, 134
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_enum.py", "Python", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 52, 270
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_eval.cpp", "C++", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 119
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_eval.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 51
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_eval_call.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\Moin\VSCodeProject\bmslogic\extern\pybind11\tests\test_exceptions.cpp", "C++", 0, 0, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 44, 389
